,VALUE,DATE
2127,10.0625,1983-06-01
2128,10.0625,1983-06-02
2129,10.0625,1983-06-03
2130,10.0625,1983-06-06
2131,10.0625,1983-06-07
2132,10.0625,1983-06-08
2133,10.0625,1983-06-09
2134,10.0625,1983-06-10
2135,9.8125,1983-06-13
2136,9.5625,1983-06-14
2137,9.5625,1983-06-15
2138,9.5625,1983-06-16
2139,9.5625,1983-06-17
2140,9.5625,1983-06-20
2141,9.5625,1983-06-21
2142,9.5625,1983-06-22
2143,9.5625,1983-06-23
2144,9.5625,1983-06-24
2145,9.5625,1983-06-27
2146,9.5625,1983-06-28
2147,9.5625,1983-06-29
2148,9.5625,1983-06-30
2149,9.5625,1983-07-01
2150,9.5625,1983-07-04
2151,9.5625,1983-07-05
2152,9.5625,1983-07-06
2153,9.5625,1983-07-07
2154,9.5625,1983-07-08
2155,9.5625,1983-07-11
2156,9.5625,1983-07-12
2157,9.5625,1983-07-13
2158,9.5625,1983-07-14
2159,9.5625,1983-07-15
2160,9.5625,1983-07-18
2161,9.5625,1983-07-19
2162,9.5625,1983-07-20
2163,9.5625,1983-07-21
2164,9.5625,1983-07-22
2165,9.5625,1983-07-25
2166,9.5625,1983-07-26
2167,9.5625,1983-07-27
2168,9.5625,1983-07-28
2169,9.5625,1983-07-29
2170,9.5625,1983-08-01
2171,9.5625,1983-08-02
2172,9.5625,1983-08-03
2173,9.5625,1983-08-04
2174,9.5625,1983-08-05
2175,9.5625,1983-08-08
2176,9.4375,1983-08-09
2177,9.5625,1983-08-10
2178,9.5625,1983-08-11
2179,9.5625,1983-08-12
2180,9.5625,1983-08-15
2181,9.5625,1983-08-16
2182,9.5625,1983-08-17
2183,9.5625,1983-08-18
2184,9.5625,1983-08-19
2185,9.5625,1983-08-22
2186,9.5625,1983-08-23
2187,9.5625,1983-08-24
2188,9.5625,1983-08-25
2189,9.5625,1983-08-26
2190,9.5625,1983-08-30
2191,9.5625,1983-08-31
2192,9.5625,1983-09-01
2193,9.5625,1983-09-02
2194,9.5625,1983-09-05
2195,9.5625,1983-09-06
2196,9.5625,1983-09-07
2197,9.5625,1983-09-08
2198,9.5625,1983-09-09
2199,9.5625,1983-09-12
2200,9.5625,1983-09-13
2201,9.5625,1983-09-14
2202,9.5625,1983-09-15
2203,9.5625,1983-09-16
2204,9.5625,1983-09-19
2205,9.5625,1983-09-20
2206,9.5625,1983-09-21
2207,9.5625,1983-09-22
2208,9.5625,1983-09-23
2209,9.5625,1983-09-26
2210,9.5625,1983-09-27
2211,9.5625,1983-09-28
2212,9.5625,1983-09-29
2213,9.5625,1983-09-30
2214,9.0625,1983-10-03
2215,9.0625,1983-10-04
2216,9.0625,1983-10-05
2217,9.0625,1983-10-06
2218,9.0625,1983-10-07
2219,9.0625,1983-10-10
2220,9.0625,1983-10-11
2221,9.0625,1983-10-12
2222,9.0625,1983-10-13
2223,9.0625,1983-10-14
2224,9.0625,1983-10-17
2225,9.0625,1983-10-18
2226,9.0625,1983-10-19
2227,9.0625,1983-10-20
2228,9.0625,1983-10-21
2229,9.0625,1983-10-24
2230,9.0625,1983-10-25
2231,9.0625,1983-10-26
2232,9.0625,1983-10-27
2233,9.0625,1983-10-28
2234,9.0625,1983-10-31
2235,9.0625,1983-11-01
2236,9.0625,1983-11-02
2237,9.0625,1983-11-03
2238,9.0625,1983-11-04
2239,9.0625,1983-11-07
2240,9.0625,1983-11-08
2241,9.0625,1983-11-09
2242,9.0625,1983-11-10
2243,9.0625,1983-11-11
2244,9.0625,1983-11-14
2245,9.0625,1983-11-15
2246,9.0625,1983-11-16
2247,9.0625,1983-11-17
2248,9.0625,1983-11-18
2249,9.0625,1983-11-21
2250,9.0625,1983-11-22
2251,9.0625,1983-11-23
2252,9.0625,1983-11-24
2253,9.0625,1983-11-25
2254,9.0625,1983-11-28
2255,9.0625,1983-11-29
2256,9.0625,1983-11-30
2257,9.0625,1983-12-01
2258,9.0625,1983-12-02
2259,9.0625,1983-12-05
2260,9.0625,1983-12-06
2261,9.0625,1983-12-07
2262,9.0625,1983-12-08
2263,9.0625,1983-12-09
2264,9.0625,1983-12-12
2265,9.0625,1983-12-13
2266,9.0625,1983-12-14
2267,9.0625,1983-12-15
2268,9.0625,1983-12-16
2269,9.0625,1983-12-19
2270,9.0625,1983-12-20
2271,9.0625,1983-12-21
2272,9.0625,1983-12-22
2273,9.0625,1983-12-23
2274,9.0625,1983-12-28
2275,9.0625,1983-12-29
2276,9.0625,1983-12-30
2277,9.0625,1984-01-03
2278,9.0625,1984-01-04
2279,9.0625,1984-01-05
2280,9.0625,1984-01-06
2281,9.0625,1984-01-09
2282,9.0625,1984-01-10
2283,9.0625,1984-01-11
2284,9.0625,1984-01-12
2285,9.0625,1984-01-13
2286,9.0625,1984-01-16
2287,9.0625,1984-01-17
2288,9.0625,1984-01-18
2289,9.0625,1984-01-19
2290,9.0625,1984-01-20
2291,9.0625,1984-01-23
2292,9.0625,1984-01-24
2293,9.0625,1984-01-25
2294,9.0625,1984-01-26
2295,9.0625,1984-01-27
2296,9.0625,1984-01-30
2297,9.0625,1984-01-31
2298,9.0625,1984-02-01
2299,9.0625,1984-02-02
2300,9.0625,1984-02-03
2301,9.0625,1984-02-06
2302,9.0625,1984-02-07
2303,9.0625,1984-02-08
2304,9.0625,1984-02-09
2305,9.0625,1984-02-10
2306,9.0625,1984-02-13
2307,9.0625,1984-02-14
2308,9.0625,1984-02-15
2309,9.0625,1984-02-16
2310,9.0625,1984-02-17
2311,9.0625,1984-02-20
2312,9.0625,1984-02-21
2313,9.0625,1984-02-22
2314,9.0625,1984-02-23
2315,9.0625,1984-02-24
2316,9.0625,1984-02-27
2317,9.0625,1984-02-28
2318,9.0625,1984-02-29
2319,9.0625,1984-03-01
2320,9.0625,1984-03-02
2321,9.0625,1984-03-05
2322,9.0625,1984-03-06
2323,8.8125,1984-03-07
2324,8.8125,1984-03-08
2325,8.8125,1984-03-09
2326,8.8125,1984-03-12
2327,8.8125,1984-03-13
2328,8.5625,1984-03-14
2329,8.5625,1984-03-15
2330,8.5625,1984-03-16
2331,8.5625,1984-03-19
2332,8.5625,1984-03-20
2333,8.5625,1984-03-21
2334,8.5625,1984-03-22
2335,8.5625,1984-03-23
2336,8.5625,1984-03-26
2337,8.5625,1984-03-27
2338,8.5625,1984-03-28
2339,8.5625,1984-03-29
2340,8.5625,1984-03-30
2341,8.5625,1984-04-02
2342,8.5625,1984-04-03
2343,8.5625,1984-04-04
2344,8.5625,1984-04-05
2345,8.5625,1984-04-06
2346,8.5625,1984-04-09
2347,8.5625,1984-04-10
2348,8.5625,1984-04-11
2349,8.5625,1984-04-12
2350,8.5625,1984-04-13
2351,8.5625,1984-04-16
2352,8.5625,1984-04-17
2353,8.5625,1984-04-18
2354,8.5625,1984-04-19
2355,8.5625,1984-04-24
2356,8.5625,1984-04-25
2357,8.5625,1984-04-26
2358,8.5625,1984-04-27
2359,8.5625,1984-04-30
2360,8.5625,1984-05-01
2361,8.5625,1984-05-02
2362,8.5625,1984-05-03
2363,8.5625,1984-05-04
2364,8.5625,1984-05-08
2365,8.5625,1984-05-09
2366,9.0625,1984-05-10
2367,9.0625,1984-05-11
2368,9.0625,1984-05-14
2369,9.0625,1984-05-15
2370,9.0625,1984-05-16
2371,9.0625,1984-05-17
2372,9.0625,1984-05-18
2373,9.0625,1984-05-21
2374,9.0625,1984-05-22
2375,9.0625,1984-05-23
2376,9.0625,1984-05-24
2377,9.0625,1984-05-25
2378,9.0625,1984-05-29
2379,9.0625,1984-05-30
2380,9.0625,1984-05-31
2381,9.0625,1984-06-01
2382,9.0625,1984-06-04
2383,9.0625,1984-06-05
2384,9.0625,1984-06-06
2385,9.0625,1984-06-07
2386,9.0625,1984-06-08
2387,9.0625,1984-06-11
2388,9.0625,1984-06-12
2389,9.0625,1984-06-13
2390,9.0625,1984-06-14
2391,9.0625,1984-06-15
2392,9.0625,1984-06-18
2393,9.0625,1984-06-19
2394,9.0625,1984-06-20
2395,9.0625,1984-06-21
2396,9.0625,1984-06-22
2397,9.0625,1984-06-25
2398,9.0625,1984-06-26
2399,9.0625,1984-06-27
2400,9.0625,1984-06-28
2401,8.875,1984-06-29
2402,8.875,1984-07-02
2403,8.875,1984-07-03
2404,8.875,1984-07-04
2405,8.875,1984-07-05
2406,10.0,1984-07-06
2407,10.0,1984-07-09
2408,10.0,1984-07-10
2409,12.0,1984-07-11
2410,12.0,1984-07-12
2411,12.0,1984-07-13
2412,12.0,1984-07-16
2413,12.0,1984-07-17
2414,12.0,1984-07-18
2415,12.0,1984-07-19
2416,12.0,1984-07-20
2417,12.0,1984-07-23
2418,12.0,1984-07-24
2419,12.0,1984-07-25
2420,12.0,1984-07-26
2421,12.0,1984-07-27
2422,12.0,1984-07-30
2423,12.0,1984-07-31
2424,12.0,1984-08-01
2425,12.0,1984-08-02
2426,12.0,1984-08-03
2427,12.0,1984-08-06
2428,12.0,1984-08-07
2429,11.5,1984-08-08
2430,11.0,1984-08-09
2431,11.0,1984-08-10
2432,11.0,1984-08-13
2433,11.0,1984-08-14
2434,11.0,1984-08-15
2435,10.75,1984-08-16
2436,10.5,1984-08-17
2437,10.5,1984-08-20
2438,10.5,1984-08-21
2439,10.5,1984-08-22
2440,10.5,1984-08-23
2441,10.5,1984-08-24
2442,10.5,1984-08-28
2443,10.5,1984-08-29
2444,10.5,1984-08-30
2445,10.5,1984-08-31
2446,10.5,1984-09-03
2447,10.5,1984-09-04
2448,10.5,1984-09-05
2449,10.5,1984-09-06
2450,10.5,1984-09-07
2451,10.5,1984-09-10
2452,10.5,1984-09-11
2453,10.5,1984-09-12
2454,10.5,1984-09-13
2455,10.5,1984-09-14
2456,10.5,1984-09-17
2457,10.5,1984-09-18
2458,10.5,1984-09-19
2459,10.5,1984-09-20
2460,10.5,1984-09-21
2461,10.5,1984-09-24
2462,10.5,1984-09-25
2463,10.5,1984-09-26
2464,10.5,1984-09-27
2465,10.5,1984-09-28
2466,10.5,1984-10-01
2467,10.5,1984-10-02
2468,10.5,1984-10-03
2469,10.5,1984-10-04
2470,10.5,1984-10-05
2471,10.5,1984-10-08
2472,10.5,1984-10-09
2473,10.5,1984-10-10
2474,10.5,1984-10-11
2475,10.5,1984-10-12
2476,10.5,1984-10-15
2477,10.5,1984-10-16
2478,10.5,1984-10-17
2479,10.5,1984-10-18
2480,10.5,1984-10-19
2481,10.5,1984-10-22
2482,10.5,1984-10-23
2483,10.5,1984-10-24
2484,10.5,1984-10-25
2485,10.5,1984-10-26
2486,10.5,1984-10-29
2487,10.5,1984-10-30
2488,10.5,1984-10-31
2489,10.5,1984-11-01
2490,10.5,1984-11-02
2491,10.0,1984-11-05
2492,10.0,1984-11-06
2493,10.0,1984-11-07
2494,10.0,1984-11-08
2495,10.0,1984-11-09
2496,10.0,1984-11-12
2497,10.0,1984-11-13
2498,10.0,1984-11-14
2499,10.0,1984-11-15
2500,10.0,1984-11-16
2501,9.75,1984-11-19
2502,9.75,1984-11-20
2503,9.75,1984-11-21
2504,9.75,1984-11-22
2505,9.5,1984-11-23
2506,9.5,1984-11-26
2507,9.5,1984-11-27
2508,9.5,1984-11-28
2509,9.5,1984-11-29
2510,9.5,1984-11-30
2511,9.5,1984-12-03
2512,9.5,1984-12-04
2513,9.5,1984-12-05
2514,9.5,1984-12-06
2515,9.5,1984-12-07
2516,9.5,1984-12-10
2517,9.5,1984-12-11
2518,9.5,1984-12-12
2519,9.5,1984-12-13
2520,9.5,1984-12-14
2521,9.5,1984-12-17
2522,9.5,1984-12-18
2523,9.5,1984-12-19
2524,9.5,1984-12-20
2525,9.5,1984-12-21
2526,9.5,1984-12-24
2527,9.5,1984-12-27
2528,9.5,1984-12-28
2529,9.5,1984-12-31
2530,9.5,1985-01-02
2531,9.5,1985-01-03
2532,9.5,1985-01-04
2533,9.5,1985-01-07
2534,9.5,1985-01-08
2535,9.5,1985-01-09
2536,9.5,1985-01-10
2537,9.5,1985-01-11
2538,11.875,1985-01-14
2539,11.875,1985-01-15
2540,11.875,1985-01-16
2541,11.875,1985-01-17
2542,11.875,1985-01-18
2543,11.875,1985-01-21
2544,11.875,1985-01-22
2545,11.875,1985-01-23
2546,11.875,1985-01-24
2547,11.875,1985-01-25
2548,13.875,1985-01-28
2549,13.875,1985-01-29
2550,13.875,1985-01-30
2551,13.875,1985-01-31
2552,13.875,1985-02-01
2553,13.875,1985-02-04
2554,13.875,1985-02-05
2555,13.875,1985-02-06
2556,13.875,1985-02-07
2557,13.875,1985-02-08
2558,13.875,1985-02-11
2559,13.875,1985-02-12
2560,13.875,1985-02-13
2561,13.875,1985-02-14
2562,13.875,1985-02-15
2563,13.875,1985-02-18
2564,13.875,1985-02-19
2565,13.875,1985-02-20
2566,13.875,1985-02-21
2567,13.875,1985-02-22
2568,13.875,1985-02-25
2569,13.875,1985-02-26
2570,13.875,1985-02-27
2571,13.875,1985-02-28
2572,13.875,1985-03-01
2573,13.875,1985-03-04
2574,13.875,1985-03-05
2575,13.875,1985-03-06
2576,13.875,1985-03-07
2577,13.875,1985-03-08
2578,13.875,1985-03-11
2579,13.875,1985-03-12
2580,13.875,1985-03-13
2581,13.875,1985-03-14
2582,13.875,1985-03-15
2583,13.875,1985-03-18
2584,13.875,1985-03-19
2585,13.375,1985-03-20
2586,13.375,1985-03-21
2587,13.375,1985-03-22
2588,13.375,1985-03-25
2589,13.375,1985-03-26
2590,13.375,1985-03-27
2591,12.875,1985-03-28
2592,12.875,1985-03-29
2593,12.875,1985-04-01
2594,12.875,1985-04-02
2595,12.875,1985-04-03
2596,12.875,1985-04-04
2597,12.875,1985-04-09
2598,12.875,1985-04-10
2599,12.875,1985-04-11
2600,12.875,1985-04-12
2601,12.875,1985-04-15
2602,12.875,1985-04-16
2603,12.875,1985-04-17
2604,12.875,1985-04-18
2605,12.375,1985-04-19
2606,12.375,1985-04-22
2607,12.375,1985-04-23
2608,12.375,1985-04-24
2609,12.375,1985-04-25
2610,12.375,1985-04-26
2611,12.375,1985-04-29
2612,12.375,1985-04-30
2613,12.375,1985-05-01
2614,12.375,1985-05-02
2615,12.375,1985-05-03
2616,12.375,1985-05-07
2617,12.375,1985-05-08
2618,12.375,1985-05-09
2619,12.375,1985-05-10
2620,12.375,1985-05-13
2621,12.375,1985-05-14
2622,12.375,1985-05-15
2623,12.375,1985-05-16
2624,12.375,1985-05-17
2625,12.375,1985-05-20
2626,12.375,1985-05-21
2627,12.375,1985-05-22
2628,12.375,1985-05-23
2629,12.375,1985-05-24
2630,12.375,1985-05-28
2631,12.375,1985-05-29
2632,12.375,1985-05-30
2633,12.375,1985-05-31
2634,12.375,1985-06-03
2635,12.375,1985-06-04
2636,12.375,1985-06-05
2637,12.375,1985-06-06
2638,12.375,1985-06-07
2639,12.375,1985-06-10
2640,12.375,1985-06-11
2641,12.375,1985-06-12
2642,12.375,1985-06-13
2643,12.375,1985-06-14
2644,12.375,1985-06-17
2645,12.375,1985-06-18
2646,12.375,1985-06-19
2647,12.375,1985-06-20
2648,12.375,1985-06-21
2649,12.375,1985-06-24
2650,12.375,1985-06-25
2651,12.375,1985-06-26
2652,12.375,1985-06-27
2653,12.375,1985-06-28
2654,12.375,1985-07-01
2655,12.375,1985-07-02
2656,12.375,1985-07-03
2657,12.375,1985-07-04
2658,12.375,1985-07-05
2659,12.375,1985-07-08
2660,12.375,1985-07-09
2661,12.375,1985-07-10
2662,11.875,1985-07-11
2663,11.875,1985-07-12
2664,11.875,1985-07-15
2665,11.875,1985-07-16
2666,11.875,1985-07-17
2667,11.875,1985-07-18
2668,11.875,1985-07-19
2669,11.875,1985-07-22
2670,11.875,1985-07-23
2671,11.875,1985-07-24
2672,11.875,1985-07-25
2673,11.375,1985-07-26
2674,11.375,1985-07-29
2675,11.375,1985-07-30
2676,11.375,1985-07-31
2677,11.375,1985-08-01
2678,11.375,1985-08-02
2679,11.375,1985-08-05
2680,11.375,1985-08-06
2681,11.375,1985-08-07
2682,11.375,1985-08-08
2683,11.375,1985-08-09
2684,11.375,1985-08-12
2685,11.375,1985-08-13
2686,11.375,1985-08-14
2687,11.375,1985-08-15
2688,11.375,1985-08-16
2689,11.375,1985-08-19
2690,11.375,1985-08-20
2691,11.375,1985-08-21
2692,11.375,1985-08-22
2693,11.375,1985-08-23
2694,11.375,1985-08-27
2695,11.375,1985-08-28
2696,11.375,1985-08-29
2697,11.375,1985-08-30
2698,11.375,1985-09-02
2699,11.375,1985-09-03
2700,11.375,1985-09-04
2701,11.375,1985-09-05
2702,11.375,1985-09-06
2703,11.375,1985-09-09
2704,11.375,1985-09-10
2705,11.375,1985-09-11
2706,11.375,1985-09-12
2707,11.375,1985-09-13
2708,11.375,1985-09-16
2709,11.375,1985-09-17
2710,11.375,1985-09-18
2711,11.375,1985-09-19
2712,11.375,1985-09-20
2713,11.375,1985-09-23
2714,11.375,1985-09-24
2715,11.375,1985-09-25
2716,11.375,1985-09-26
2717,11.375,1985-09-27
2718,11.375,1985-09-30
2719,11.375,1985-10-01
2720,11.375,1985-10-02
2721,11.375,1985-10-03
2722,11.375,1985-10-04
2723,11.375,1985-10-07
2724,11.375,1985-10-08
2725,11.375,1985-10-09
2726,11.375,1985-10-10
2727,11.375,1985-10-11
2728,11.375,1985-10-14
2729,11.375,1985-10-15
2730,11.375,1985-10-16
2731,11.375,1985-10-17
2732,11.375,1985-10-18
2733,11.375,1985-10-21
2734,11.375,1985-10-22
2735,11.375,1985-10-23
2736,11.375,1985-10-24
2737,11.375,1985-10-25
2738,11.375,1985-10-28
2739,11.375,1985-10-29
2740,11.375,1985-10-30
2741,11.375,1985-10-31
2742,11.375,1985-11-01
2743,11.375,1985-11-04
2744,11.375,1985-11-05
2745,11.375,1985-11-06
2746,11.375,1985-11-07
2747,11.375,1985-11-08
2748,11.375,1985-11-11
2749,11.375,1985-11-12
2750,11.375,1985-11-13
2751,11.375,1985-11-14
2752,11.375,1985-11-15
2753,11.375,1985-11-18
2754,11.375,1985-11-19
2755,11.375,1985-11-20
2756,11.375,1985-11-21
2757,11.375,1985-11-22
2758,11.375,1985-11-25
2759,11.375,1985-11-26
2760,11.375,1985-11-27
2761,11.375,1985-11-28
2762,11.375,1985-11-29
2763,11.375,1985-12-02
2764,11.375,1985-12-03
2765,11.375,1985-12-04
2766,11.375,1985-12-05
2767,11.375,1985-12-06
2768,11.375,1985-12-09
2769,11.375,1985-12-10
2770,11.375,1985-12-11
2771,11.375,1985-12-12
2772,11.375,1985-12-13
2773,11.375,1985-12-16
2774,11.375,1985-12-17
2775,11.375,1985-12-18
2776,11.375,1985-12-19
2777,11.375,1985-12-20
2778,11.375,1985-12-23
2779,11.375,1985-12-24
2780,11.375,1985-12-27
2781,11.375,1985-12-30
2782,11.375,1985-12-31
2783,11.375,1986-01-02
2784,11.375,1986-01-03
2785,11.375,1986-01-06
2786,11.375,1986-01-07
2787,11.375,1986-01-08
2788,11.375,1986-01-09
2789,11.375,1986-01-10
2790,11.375,1986-01-13
2791,11.375,1986-01-14
2792,12.375,1986-01-15
2793,12.375,1986-01-16
2794,12.375,1986-01-17
2795,12.375,1986-01-20
2796,12.375,1986-01-21
2797,12.375,1986-01-22
2798,12.375,1986-01-23
2799,12.375,1986-01-24
2800,12.375,1986-01-27
2801,12.375,1986-01-28
2802,12.375,1986-01-29
2803,12.375,1986-01-30
2804,12.375,1986-01-31
2805,12.375,1986-02-03
2806,12.375,1986-02-04
2807,12.375,1986-02-05
2808,12.375,1986-02-06
2809,12.375,1986-02-07
2810,12.375,1986-02-10
2811,12.375,1986-02-11
2812,12.375,1986-02-12
2813,12.375,1986-02-13
2814,12.375,1986-02-14
2815,12.375,1986-02-17
2816,12.375,1986-02-18
2817,12.375,1986-02-19
2818,12.375,1986-02-20
2819,12.375,1986-02-21
2820,12.375,1986-02-24
2821,12.375,1986-02-25
2822,12.375,1986-02-26
2823,12.375,1986-02-27
2824,12.375,1986-02-28
2825,12.375,1986-03-03
2826,12.375,1986-03-04
2827,12.375,1986-03-05
2828,12.375,1986-03-06
2829,12.375,1986-03-07
2830,12.375,1986-03-10
2831,12.375,1986-03-11
2832,12.375,1986-03-12
2833,12.375,1986-03-13
2834,12.375,1986-03-14
2835,12.375,1986-03-17
2836,12.375,1986-03-18
2837,11.375,1986-03-19
2838,11.375,1986-03-20
2839,11.375,1986-03-21
2840,11.375,1986-03-24
2841,11.375,1986-03-25
2842,11.375,1986-03-26
2843,11.375,1986-03-27
2844,11.375,1986-04-01
2845,11.375,1986-04-02
2846,11.375,1986-04-03
2847,11.375,1986-04-04
2848,11.375,1986-04-07
2849,11.375,1986-04-08
2850,11.375,1986-04-09
2851,11.375,1986-04-10
2852,10.875,1986-04-11
2853,10.875,1986-04-14
2854,10.875,1986-04-15
2855,10.875,1986-04-16
2856,10.875,1986-04-17
2857,10.375,1986-04-18
2858,10.375,1986-04-21
2859,10.375,1986-04-22
2860,10.375,1986-04-23
2861,10.375,1986-04-24
2862,10.375,1986-04-25
2863,10.375,1986-04-28
2864,10.375,1986-04-29
2865,10.375,1986-04-30
2866,10.375,1986-05-01
2867,10.375,1986-05-02
2868,10.375,1986-05-06
2869,10.375,1986-05-07
2870,10.375,1986-05-08
2871,10.375,1986-05-09
2872,10.375,1986-05-12
2873,10.375,1986-05-13
2874,10.375,1986-05-14
2875,10.375,1986-05-15
2876,10.375,1986-05-16
2877,10.375,1986-05-19
2878,10.375,1986-05-20
2879,10.375,1986-05-21
2880,10.375,1986-05-22
2881,9.875,1986-05-23
2882,9.875,1986-05-27
2883,9.875,1986-05-28
2884,9.875,1986-05-29
2885,9.875,1986-05-30
2886,9.875,1986-06-02
2887,9.875,1986-06-03
2888,9.875,1986-06-04
2889,9.875,1986-06-05
2890,9.875,1986-06-06
2891,9.875,1986-06-09
2892,9.875,1986-06-10
2893,9.875,1986-06-11
2894,9.875,1986-06-12
2895,9.875,1986-06-13
2896,9.875,1986-06-16
2897,9.875,1986-06-17
2898,9.875,1986-06-18
2899,9.875,1986-06-19
2900,9.875,1986-06-20
2901,9.875,1986-06-23
2902,9.875,1986-06-24
2903,9.875,1986-06-25
2904,9.875,1986-06-26
2905,9.875,1986-06-27
2906,9.875,1986-06-30
2907,9.875,1986-07-01
2908,9.875,1986-07-02
2909,9.875,1986-07-03
2910,9.875,1986-07-04
2911,9.875,1986-07-07
2912,9.875,1986-07-08
2913,9.875,1986-07-09
2914,9.875,1986-07-10
2915,9.875,1986-07-11
2916,9.875,1986-07-14
2917,9.875,1986-07-15
2918,9.875,1986-07-16
2919,9.875,1986-07-17
2920,9.875,1986-07-18
2921,9.875,1986-07-21
2922,9.875,1986-07-22
2923,9.875,1986-07-23
2924,9.875,1986-07-24
2925,9.875,1986-07-25
2926,9.875,1986-07-28
2927,9.875,1986-07-29
2928,9.875,1986-07-30
2929,9.875,1986-07-31
2930,9.875,1986-08-01
2931,9.875,1986-08-04
2932,9.875,1986-08-05
2933,9.875,1986-08-06
2934,9.875,1986-08-07
2935,9.875,1986-08-08
2936,9.875,1986-08-11
2937,9.875,1986-08-12
2938,9.875,1986-08-13
2939,9.875,1986-08-14
2940,9.875,1986-08-15
2941,9.875,1986-08-18
2942,9.875,1986-08-19
2943,9.875,1986-08-20
2944,9.875,1986-08-21
2945,9.875,1986-08-22
2946,9.875,1986-08-26
2947,9.875,1986-08-27
2948,9.875,1986-08-28
2949,9.875,1986-08-29
2950,9.875,1986-09-01
2951,9.875,1986-09-02
2952,9.875,1986-09-03
2953,9.875,1986-09-04
2954,9.875,1986-09-05
2955,9.875,1986-09-08
2956,9.875,1986-09-09
2957,9.875,1986-09-10
2958,9.875,1986-09-11
2959,9.875,1986-09-12
2960,9.875,1986-09-15
2961,9.875,1986-09-16
2962,9.875,1986-09-17
2963,9.875,1986-09-18
2964,9.875,1986-09-19
2965,9.875,1986-09-22
2966,9.875,1986-09-23
2967,9.875,1986-09-24
2968,9.875,1986-09-25
2969,9.875,1986-09-26
2970,9.875,1986-09-29
2971,9.875,1986-09-30
2972,9.875,1986-10-01
2973,9.875,1986-10-02
2974,9.875,1986-10-03
2975,9.875,1986-10-06
2976,9.875,1986-10-07
2977,9.875,1986-10-08
2978,9.875,1986-10-09
2979,9.875,1986-10-10
2980,9.875,1986-10-13
2981,9.875,1986-10-14
2982,10.875,1986-10-15
2983,10.875,1986-10-16
2984,10.875,1986-10-17
2985,10.875,1986-10-20
2986,10.875,1986-10-21
2987,10.875,1986-10-22
2988,10.875,1986-10-23
2989,10.875,1986-10-24
2990,10.875,1986-10-27
2991,10.875,1986-10-28
2992,10.875,1986-10-29
2993,10.875,1986-10-30
2994,10.875,1986-10-31
2995,10.875,1986-11-03
2996,10.875,1986-11-04
2997,10.875,1986-11-05
2998,10.875,1986-11-06
2999,10.875,1986-11-07
3000,10.875,1986-11-10
3001,10.875,1986-11-11
3002,10.875,1986-11-12
3003,10.875,1986-11-13
3004,10.875,1986-11-14
3005,10.875,1986-11-17
3006,10.875,1986-11-18
3007,10.875,1986-11-19
3008,10.875,1986-11-20
3009,10.875,1986-11-21
3010,10.875,1986-11-24
3011,10.875,1986-11-25
3012,10.875,1986-11-26
3013,10.875,1986-11-27
3014,10.875,1986-11-28
3015,10.875,1986-12-01
3016,10.875,1986-12-02
3017,10.875,1986-12-03
3018,10.875,1986-12-04
3019,10.875,1986-12-05
3020,10.875,1986-12-08
3021,10.875,1986-12-09
3022,10.875,1986-12-10
3023,10.875,1986-12-11
3024,10.875,1986-12-12
3025,10.875,1986-12-15
3026,10.875,1986-12-16
3027,10.875,1986-12-17
3028,10.875,1986-12-18
3029,10.875,1986-12-19
3030,10.875,1986-12-22
3031,10.875,1986-12-23
3032,10.875,1986-12-24
3033,10.875,1986-12-29
3034,10.875,1986-12-30
3035,10.875,1986-12-31
3036,10.875,1987-01-02
3037,10.875,1987-01-05
3038,10.875,1987-01-06
3039,10.875,1987-01-07
3040,10.875,1987-01-08
3041,10.875,1987-01-09
3042,10.875,1987-01-12
3043,10.875,1987-01-13
3044,10.875,1987-01-14
3045,10.875,1987-01-15
3046,10.875,1987-01-16
3047,10.875,1987-01-19
3048,10.875,1987-01-20
3049,10.875,1987-01-21
3050,10.875,1987-01-22
3051,10.875,1987-01-23
3052,10.875,1987-01-26
3053,10.875,1987-01-27
3054,10.875,1987-01-28
3055,10.875,1987-01-29
3056,10.875,1987-01-30
3057,10.875,1987-02-02
3058,10.875,1987-02-03
3059,10.875,1987-02-04
3060,10.875,1987-02-05
3061,10.875,1987-02-06
3062,10.875,1987-02-09
3063,10.875,1987-02-10
3064,10.875,1987-02-11
3065,10.875,1987-02-12
3066,10.875,1987-02-13
3067,10.875,1987-02-16
3068,10.875,1987-02-17
3069,10.875,1987-02-18
3070,10.875,1987-02-19
3071,10.875,1987-02-20
3072,10.875,1987-02-23
3073,10.875,1987-02-24
3074,10.875,1987-02-25
3075,10.875,1987-02-26
3076,10.875,1987-02-27
3077,10.875,1987-03-02
3078,10.875,1987-03-03
3079,10.875,1987-03-04
3080,10.875,1987-03-05
3081,10.875,1987-03-06
3082,10.375,1987-03-09
3083,10.375,1987-03-10
3084,10.375,1987-03-11
3085,10.375,1987-03-12
3086,10.375,1987-03-13
3087,10.375,1987-03-16
3088,10.375,1987-03-17
3089,9.875,1987-03-18
3090,9.875,1987-03-19
3091,9.875,1987-03-20
3092,9.875,1987-03-23
3093,9.875,1987-03-24
3094,9.875,1987-03-25
3095,9.875,1987-03-26
3096,9.875,1987-03-27
3097,9.875,1987-03-30
3098,9.875,1987-03-31
3099,9.875,1987-04-01
3100,9.875,1987-04-02
3101,9.875,1987-04-03
3102,9.875,1987-04-06
3103,9.875,1987-04-07
3104,9.875,1987-04-08
3105,9.875,1987-04-09
