,title,address,price,building_area,building_use,latitude,longitude,btype
299,交通方便，近國父紀念館捷運站,台北市大安區忠孝東路四段,73000,48.87,電梯大樓/辦公,25.0416889,121.5454972,電梯大樓
307,全新裝潢2-4人微型商辦101窗景,台北市大安區復興南路一段,10000,4.0,電梯大樓/辦公,25.0340794,121.54240490000001,電梯大樓
308,NTNU小資輕豪宅鄰近古亭MRT,台北市中正區南昌路二段,24500,11.0,電梯大樓/獨立套房,25.0258328,121.52381580000001,電梯大樓
315,機械式車位出租,台北市松山區八德路四段,3500,5.0,,25.049821899999998,121.5704956,nan
324,頂樓庭院小屋,台北市松山區新東街,16500,16.0,公寓/獨立套房,25.060484,121.5655872,公寓
325,適合公司行號或倉儲等,台北市大同區民族西路,45000,45.0,公寓/店面,25.068223,121.51478700000001,公寓
327,東區茶街金鑽A級店面,台北市大安區忠孝東路四段,300000,30.0,電梯大樓/店面,25.0429238,121.55200579999999,電梯大樓
329,優質靜巷小資宅~全新裝潢,台北市內湖區內湖路一段,11000,7.0,公寓/分租套房,25.0788448,121.593299,公寓
337,~工作室~可設立公司~商業用途~,台北市中正區南昌路二段,48000,48.18,電梯大樓/辦公,25.0239372,121.52442169999999,電梯大樓
338,忠誠路雅緻套房(近捷運.Sogo百貨),台北市士林區忠誠路一段,8000,5.0,公寓/分租套房,25.10485,121.52851899999999,公寓
340,新穎雅緻裝潢優美學區套房,台北市萬華區貴陽街二段,10000,9.0,公寓/分租套房,25.039995,121.49943200000001,公寓
349,捷運中山國中10分鐘(房廳浴各1)附家具,台北市中山區龍江路,15000,12.0,,25.065133,121.54222299999999,nan
350,"限單身女性,優質全新雅房近古亭捷運",台北市中正區廈門街,6000,4.0,電梯大樓/雅房,25.023969,121.517742,電梯大樓
352,近西門捷運全新裝潢及家具生活機能優質雅房,台北市萬華區康定路,8000,8.9,透天厝/雅房,25.03977,121.501502,透天厝
353,芝山站新裝璜商務型辦公月租19800元起,台北市士林區福國路,19800,18.0,電梯大樓/辦公,25.102698800000002,121.52518880000001,電梯大樓
357,師大台大商圈單人套房,台北市中正區羅斯福路三段,9800,4.0,公寓/分租套房,25.0224426,121.5252686,公寓
361,限時下殺-打造創意夢想辦公室,台北市中山區南京東路一段,21000,12.0,電梯大樓/辦公,25.05201,121.523106,電梯大樓
363,西門捷運獨立溫馨套房~徵勤勞環保有禮貌者,台北市萬華區西寧南路,7800,7.5,公寓/獨立套房,25.0413322,121.506073,公寓
366,近捷運站交通便利,台北市大同區延平北路三段,8500,10.0,公寓/分租套房,25.065555,121.51089099999999,公寓
370,舒適溫馨生活機能佳小套房,台北市大安區信義路四段,18000,5.7,電梯大樓/獨立套房,25.034147100000002,121.55537369999999,電梯大樓
374,長春路溫馨套房乙間，鄰近吉林國小，捷運站,台北市中山區長春路,7500,6.0,公寓/分租套房,25.054997,121.528148,公寓
377,1樓(免費網路+第四台)~近文德捷運站,台北市內湖區陽光街,9000,6.0,電梯大樓/分租套房,25.0747767,121.58503529999999,電梯大樓
387,西華飯店對面,台北市松山區民生東路三段,13500,6.5,電梯大樓/分租套房,25.057650100000004,121.5443659,電梯大樓
394,行天宮附近寧靜巷弄內二套房一雅房,台北市中山區吉林路,8000,5.0,公寓/分租套房,25.0656451,121.5312205,公寓
396,6坪合江街小套房出租,台北市中山區合江街,8300,6.0,公寓/獨立套房,25.060804,121.540062,公寓
399,"師大公館優質套房,捷運台電旁~家具齊",台北市大安區雲和街,12000,8.0,公寓/獨立套房,25.023595,121.52902399999999,公寓
405,中華路獨立套房保有個人隱私,台北市中正區中華路二段,11000,6.0,公寓/獨立套房,25.037363199999998,121.50784420000001,公寓
406,獨立套房環境優-近善導寺忠孝新生捷運站,台北市中正區杭州南路一段,9500,7.0,公寓/獨立套房,25.03925,121.527224,公寓
407,超值雅房～乾淨清爽~近捷運,台北市中山區松江路,8500,6.0,公寓/雅房,25.052637,121.53121399999999,公寓
411,台北環亞、小巨蛋套房,台北市松山區八德路二段,15500,12.0,電梯大樓/分租套房,25.0493108,121.54739679999999,電梯大樓
414,"師大分部附近,全新雅房",台北市文山區汀州路四段,7500,5.0,公寓/雅房,25.006556,121.53728490000002,公寓
423,【信義商圈】永春象山捷運-商業辦公室,台北市信義區松德路,21000,20.0,電梯大樓/辦公,25.0386438,121.5759328,電梯大樓
425,後山埤捷運站小陽台套房交通便捷生活機能強,台北市信義區忠孝東路六段,9500,5.0,公寓/獨立套房,25.0460644,121.5839338,公寓
428,台塑大樓對外窗2樓含一般水電網瓦衛浴方便,台北市松山區民生東路四段,6900,5.0,公寓/雅房,25.057867,121.55306100000001,公寓
432,世新台大政大套房適合學生無不良嗜好租限男,台北市文山區景華街,7300,4.0,公寓/分租套房,24.996632899999998,121.54721799999999,公寓
435,全新社區~景觀溫馨小3房只要28500元,台北市文山區指南路三段,28500,33.0,電梯大樓/整層住家,24.9829655,121.5803933,電梯大樓
